"x","title","job.seniority","rating","company","competitor","job.state","headquarters","same.state","size","founded","type.of.ownership","industry","sector","revenue","min.salary","max.salary","avg.salary","age","python","r","spark","aws","excel"
0,"D-sci","No Desc","Satisfied","Tecolote Research",0,"NM","CA",0,"medium",1973,"Private","Aerospace & Defense","Aerospace & Defense","medium-bus",53,91,72,47,1,0,0,0,1
1,"D-sci","No Desc","Neutral","University of Maryland Medical System",0,"MD","MD",0,"large",1984,"Other Organization","Health Care Services & Hospitals","Health Care","large-bus",63,112,87.5,36,1,0,0,0,0
2,"D-sci","No Desc","Very Satisfied","KnowBe4",0,"FL","FL",1,"medium",2010,"Private","Security Services","Business Services","large-bus",80,90,85,30,1,0,1,0,1
3,"D-sci","No Desc","Satisfied","PNNL",3,"WA","WA",1,"large",1965,"Government","Energy","Oil, Gas, Energy & Utilities","large-bus",56,97,76.5,55,1,0,0,0,0
4,"D-sci","No Desc","Neutral","Affinity Solutions",3,"NY","NY",1,"small",1998,"Private","Advertising & Marketing","Business Services","medium-bus",86,143,114.5,22,1,0,0,0,1
5,"D-sci","No Desc","Neutral","CyrusOne",3,"TX","TX",1,"medium",2000,"Public","Real Estate","Real Estate","large-bus",71,119,95,20,1,0,0,1,1
6,"D-sci","No Desc","Satisfied","ClearOne Advantage",0,"MD","MD",1,"medium",2008,"Private","Banks & Credit Unions","Finance","large-bus",54,93,73.5,30,0,0,0,0,1
7,"D-sci","No Desc","Satisfied","Logic20/20",0,"CA","WA",0,"medium",2005,"Private","Consulting","Business Services","medium-bus",86,142,114,30,1,0,1,1,1
8,"R&D","Senior Prof","Neutral","Rochester Regional Health",0,"NY","NY",1,"large",2014,"Hospital","Health Care Services & Hospitals","Health Care","large-bus",38,84,61,30,0,0,0,0,0
9,"D-sci","No Desc","Very Satisfied","<intent>",2,"NY","NY",1,"small",2009,"Private","Internet","Information Technology","large-bus",120,160,140,30,1,0,1,0,0
10,"D-sci","No Desc","Satisfied","Wish",0,"CA","CA",0,"medium",2011,"Private","Other Retail Stores","Retail","large-bus",126,201,163.5,30,1,0,0,0,0
11,"D-sci","No Desc","Satisfied","ManTech",0,"VA","VA",0,"large",1968,"Public","Research & Development","Business Services","large-bus",64,106,85,52,0,0,0,0,0
12,"D-sci","No Desc","Neutral","Walmart",3,"TX","AR",0,"large",1962,"Public","Department, Clothing, & Shoe Stores","Retail","large-bus",106,172,139,58,0,0,0,0,0
13,"analyst","No Desc","Satisfied","Yesler",0,"WA","WA",1,"medium",2012,"Private","Advertising & Marketing","Business Services","large-bus",46,85,65.5,30,1,0,1,1,1
14,"D-sci","No Desc","Satisfied","Takeda Pharmaceuticals",3,"MA","Japan",0,"large",1781,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",83,144,113.5,52,1,0,1,0,0
15,"D-eng","No Desc","Satisfied","Audible",0,"NJ","NJ",1,"large",1995,"Subsidiary or Business Segment","Motion Picture Production & Distribution","Media","large-bus",102,190,146,25,0,0,0,0,1
16,"na","No Desc","Satisfied","Blueprint Medicines",3,"MA","MA",1,"small",2011,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","small-bus",67,137,102,30,0,0,0,0,1
17,"D-sci","No Desc","Satisfied","h2o.ai",0,"CA","CA",1,"medium",2011,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",118,189,153.5,30,1,0,1,1,1
